expression, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
10frames_angry_3_nodelta, 1.38, 0.00, 0.00, 0.00, 0.23, 2.69, 0.38, 1.60, 0.51, 0.36, 0.14, 1.30, 0.00, 0.00, 2.17, 2.56, 0.34, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
10frames_happy_1_+delta, 1.73, 2.68, 1.17, 0.00, 1.75, 3.24, 0.00, 0.34, 2.69, 1.36, 0.00, 0.00, 0.00, 0.00, 2.68, 0.93, 0.82, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0
10frames_happy_1_delta, 1.79, 2.58, 1.02, 0.44, 0.78, 1.73, 0.00, 0.48, 1.88, 0.44, 0.00, 0.00, 0.00, 0.75, 1.93, 1.48, 0.27, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
10frames_happy_1_nodelta, 2.04, 2.83, 1.27, 0.24, 1.30, 1.82, 0.00, 0.63, 2.13, 0.82, 0.00, 0.00, 0.00, 0.67, 2.47, 1.73, 0.45, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
10frames_happy_2_+delta, 1.94, 3.01, 1.11, 0.00, 2.19, 3.55, 0.14, 1.04, 2.95, 1.56, 0.00, 0.00, 0.00, 0.00, 3.04, 1.49, 0.86, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
10frames_happy_2_delta, 1.34, 2.22, 0.81, 0.00, 1.23, 2.83, 0.00, 0.69, 2.61, 1.14, 0.00, 0.00, 0.00, 0.00, 2.47, 1.16, 0.01, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
10frames_happy_2_nodelta, 2.02, 2.74, 1.11, 0.00, 1.56, 2.59, 0.00, 1.11, 2.73, 1.24, 0.00, 0.00, 0.00, 0.42, 3.07, 1.86, 0.27, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
10frames_happy_3_+delta, 1.79, 2.97, 1.21, 0.00, 2.15, 3.50, 0.24, 0.88, 2.84, 2.03, 0.00, 0.00, 0.00, 0.00, 2.78, 1.25, 1.06, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
10frames_happy_3_delta, 1.97, 2.70, 1.06, 0.00, 1.49, 2.00, 0.06, 1.26, 2.90, 1.14, 0.00, 0.00, 0.00, 0.53, 2.99, 1.33, 0.11, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
10frames_happy_3_nodelta, 1.76, 2.51, 1.15, 0.00, 1.75, 2.26, 0.03, 1.38, 2.83, 1.23, 0.00, 0.00, 0.00, 0.43, 3.15, 1.42, 0.37, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
